date,department,category,budget,actual,approved
2024-03-11,Engineering,Travel,10289.44,18354.11,True
2024-03-11,Operations,Consulting,34352.31,27086.7,True
2024-03-13,Finance,Hardware,27673.22,19842.46,True
2024-03-13,IT,Office,19099.24,22152.08,True
2024-03-14,IT,Hardware,9549.62,11076.04,True
2024-03-15,Marketing,Travel,6298.44,6230.78,True
2024-03-15,Marketing,Travel,6298.44,10903.86,False
2024-03-16,HR,Software,8625.23,8134.11,False
2024-03-18,HR,Office,5390.77,6972.1,True
2024-03-18,HR,Travel,7187.69,16268.22,True
2024-03-19,Marketing,Consulting,6298.44,8723.09,False
2024-03-19,IT,Personnel,15279.39,9493.75,False
2024-03-20,Engineering,Consulting,16463.11,15295.09,True
2024-03-21,Operations,Software,20611.38,18057.8,True
2024-03-21,Finance,Personnel,13836.61,39684.91,True
2024-03-22,IT,Hardware,25465.65,9493.75,True
2024-03-23,Marketing,Office,8397.91,7269.24,False
2024-03-23,Operations,Hardware,25764.23,21669.36,True
2024-03-24,HR,Software,7187.69,12201.17,True
2024-03-24,Engineering,Hardware,11759.36,18354.11,False
2024-03-24,Operations,Training,17176.15,18057.8,True
2024-03-24,Finance,Consulting,36897.63,23810.95,True
2024-03-25,IT,Training,19099.24,13291.25,True
2024-03-25,Operations,Software,12882.11,21669.36,False
2024-03-25,Sales,Travel,15609.43,16707.35,False
2024-03-25,Sales,Travel,27316.49,33414.69,False
2024-03-26,IT,Consulting,25465.65,13291.25,False
2024-03-26,Marketing,Training,6298.44,10903.86,True
2024-03-27,HR,Travel,7187.69,6972.1,True
2024-03-28,HR,Training,6160.88,8134.11,False
2024-03-28,Finance,Travel,27673.22,39684.91,True
2024-04-01,Marketing,Personnel,16918.06,21569.5,False
2024-04-02,Operations,Software,9947.06,6675.03,True
2024-04-02,Sales,Hardware,7905.19,20329.97,True
2024-04-03,Finance,Travel,23991.45,22387.12,True
2024-04-03,HR,Software,14048.89,18999.0,True
2024-04-04,Marketing,Training,21147.57,17255.6,True
2024-04-04,Sales,Training,15810.38,8712.84,True
2024-04-05,Sales,Software,6775.88,12197.98,True
2024-04-07,Marketing,Software,10573.79,14379.67,True
2024-04-08,Sales,Personnel,6775.88,10164.98,True
2024-04-09,Engineering,Consulting,7943.59,14661.8,True
2024-04-09,Marketing,Hardware,16918.06,21569.5,True
2024-04-09,Engineering,Consulting,9078.39,12218.17,False
2024-04-09,Finance,Software,17136.75,22387.12,False
2024-04-10,Operations,Consulting,7105.04,17800.08,True
2024-04-10,Sales,Office,11857.78,7623.74,False
2024-04-11,Finance,Office,39985.75,33580.68,True
2024-04-11,Engineering,Training,15887.18,24436.33,True
2024-04-11,Engineering,Personnel,10591.45,14661.8,True
2024-04-12,Marketing,Software,16918.06,28759.34,True
2024-04-13,Sales,Travel,15810.38,8712.84,True
2024-04-14,Finance,Office,19992.87,26864.54,False
2024-04-14,Engineering,Training,7943.59,10472.71,True
2024-04-14,IT,Personnel,7201.49,3657.62,True
2024-04-15,HR,Personnel,16055.87,44331.0,False
2024-04-15,HR,Personnel,18731.85,16624.12,True
2024-04-15,Engineering,Software,10591.45,10472.71,False
2024-04-15,Operations,Office,7105.04,8900.04,True
2024-04-16,Engineering,Consulting,15887.18,9163.62,False
2024-04-16,Engineering,Software,12709.74,14661.8,True
2024-04-16,Sales,Travel,7905.19,12197.98,True
2024-04-16,Marketing,Consulting,12084.33,17255.6,False
2024-04-17,Engineering,Software,21182.9,18327.25,False
2024-04-18,Operations,Personnel,12433.83,17800.08,False
2024-04-18,HR,Software,14048.89,33248.25,True
2024-04-19,HR,Office,28097.78,22165.5,True
2024-04-19,Finance,Personnel,29989.31,22387.12,False
2024-04-20,IT,Training,4801.0,3200.41,False
2024-04-22,Operations,Personnel,12433.83,13350.06,True
2024-04-23,Operations,Training,8289.22,17800.08,True
2024-04-23,Marketing,Software,16918.06,10784.75,True
2024-04-23,HR,Travel,22478.22,18999.0,False
2024-04-24,Marketing,Consulting,16918.06,17255.6,False
2024-04-24,Marketing,Consulting,12084.33,12325.43,True
2024-04-24,Marketing,Software,16918.06,28759.34,True
2024-04-24,HR,Hardware,16055.87,26598.6,True
2024-04-25,IT,Travel,4115.14,8534.44,False
2024-04-25,IT,Personnel,7201.49,5120.66,True
2024-04-25,Operations,Software,6216.91,13350.06,True
2024-04-25,Sales,Consulting,7905.19,10164.98,False
2024-04-26,HR,Hardware,16055.87,16624.12,True
2024-04-27,HR,Software,37463.7,44331.0,True
2024-04-27,Finance,Training,17136.75,44774.23,False
2024-05-02,IT,Hardware,13804.14,34423.98,True
2024-05-02,Operations,Hardware,12212.16,6702.32,True
2024-05-03,IT,Software,20706.2,12908.99,False
2024-05-03,HR,Travel,13953.35,10671.68,True
2024-05-03,Operations,Consulting,6106.08,4787.37,True
2024-05-04,Sales,Consulting,9767.98,21783.16,True
2024-05-08,Sales,Office,19535.96,10891.58,True
2024-05-09,Engineering,Training,18794.55,22349.66,True
2024-05-11,Sales,Office,7325.98,10891.58,True
2024-05-11,Marketing,Office,17009.16,11552.13,False
2024-05-12,Operations,Travel,9159.12,8377.91,False
2024-05-12,Marketing,Hardware,14579.28,13202.43,False
2024-05-14,Sales,Training,7325.98,16337.37,True
2024-05-14,Engineering,Training,18794.55,18624.72,True
2024-05-15,Marketing,Hardware,25513.74,11552.13,True
2024-05-15,HR,Office,13953.35,12450.3,True
2024-05-15,Engineering,Consulting,28191.82,18624.72,True
2024-05-15,Engineering,Personnel,14095.91,27937.08,False
2024-05-16,Engineering,Personnel,37589.09,13968.54,True
2024-05-16,Sales,Training,11721.58,13069.9,False
2024-05-17,Sales,Consulting,11721.58,21783.16,False
2024-05-18,Engineering,Travel,37589.09,27937.08,True
2024-05-19,Marketing,Travel,25513.74,15402.84,True
2024-05-19,Operations,Office,9159.12,8377.91,True
2024-05-19,Finance,Hardware,3833.17,5886.21,True
2024-05-19,Finance,Training,3833.17,3678.88,True
2024-05-20,Finance,Training,6133.07,7357.77,True
2024-05-20,Sales,Personnel,14651.97,8168.69,True
2024-05-20,Finance,Hardware,3833.17,3678.88,True
2024-05-20,Engineering,Consulting,14095.91,27937.08,True
2024-05-20,Finance,Office,5110.89,5886.21,True
2024-05-21,Sales,Personnel,11721.58,8168.69,False
2024-05-21,Sales,Software,9767.98,21783.16,True
2024-05-21,HR,Travel,8720.84,14940.36,False
2024-05-22,HR,Personnel,11627.79,14940.36,True
2024-05-23,Engineering,Software,22553.46,15964.04,True
2024-05-23,Engineering,Hardware,16109.61,13968.54,True
2024-05-24,IT,Training,16564.96,34423.98,False
2024-05-24,IT,Travel,20706.2,25817.99,True
2024-05-24,IT,Software,27608.27,20654.39,True
2024-05-25,Sales,Office,7325.98,21783.16,False
2024-05-26,IT,Travel,27608.27,20654.39,True
2024-05-26,IT,Consulting,16564.96,14753.13,True
2024-05-27,IT,Software,16564.96,17211.99,True
2024-05-27,Marketing,Consulting,14579.28,11552.13,False
2024-05-27,Finance,Office,5110.89,5886.21,True
2024-05-28,HR,Hardware,17441.68,12450.3,False
2024-05-28,Marketing,Software,17009.16,13202.43,False
2024-05-28,IT,Training,11832.12,20654.39,True
2024-06-01,Sales,Software,20261.06,29653.73,True
2024-06-02,Marketing,Travel,17098.44,25829.99,True
2024-06-02,Engineering,Hardware,10913.1,24446.56,True
2024-06-02,IT,Software,9510.4,6176.24,True
2024-06-03,HR,Training,23518.37,23203.45,False
2024-06-03,Marketing,Training,12213.17,25829.99,True
2024-06-04,HR,Office,8819.39,13922.07,True
2024-06-04,Engineering,Office,16369.65,12223.28,True
2024-06-04,Marketing,Office,17098.44,14760.0,True
2024-06-05,Sales,Personnel,20261.06,22240.29,True
2024-06-05,Finance,Office,9194.1,14726.96,True
2024-06-05,Sales,Training,14472.19,29653.73,True
2024-06-07,Marketing,Travel,14248.7,25829.99,True
2024-06-08,Engineering,Consulting,16369.65,12223.28,False
2024-06-09,Operations,Consulting,13091.23,14728.76,True
2024-06-09,Engineering,Consulting,10913.1,9167.46,True
2024-06-11,Operations,Consulting,26182.46,34367.12,True
2024-06-11,IT,Hardware,12680.54,10808.42,True
2024-06-11,HR,Travel,14111.02,8701.29,True
2024-06-12,Finance,Training,7880.66,11781.57,True
2024-06-12,Engineering,Office,8184.82,9167.46,False
2024-06-12,IT,Hardware,4755.2,8646.74,True
2024-06-12,HR,Software,8819.39,11601.73,True
2024-06-13,Operations,Consulting,14961.41,20620.27,False
2024-06-13,IT,Travel,6340.27,8646.74,True
2024-06-14,Marketing,Hardware,28497.4,12915.0,True
2024-06-14,HR,Travel,17638.78,11601.73,True
2024-06-15,Sales,Consulting,25326.33,12708.74,True
2024-06-15,Sales,Office,33768.43,29653.73,False
2024-06-16,Operations,Office,17454.98,34367.12,True
2024-06-16,Sales,Travel,20261.06,12708.74,True
2024-06-18,HR,Personnel,10079.3,9944.34,True
2024-06-19,IT,Office,6340.27,14411.23,True
2024-06-19,Engineering,Office,8184.82,18334.92,False
2024-06-20,Finance,Office,6895.58,11781.57,True
2024-06-20,Engineering,Consulting,13095.72,10477.1,True
2024-06-21,Engineering,Personnel,8184.82,12223.28,True
2024-06-21,Marketing,Office,12213.17,34439.99,True
2024-06-21,Engineering,Travel,21826.2,18334.92,True
2024-06-22,HR,Personnel,11759.18,13922.07,False
2024-06-23,HR,Personnel,8819.39,8701.29,True
2024-06-24,Sales,Training,12663.16,12708.74,True
2024-06-24,Sales,Travel,14472.19,29653.73,True
2024-06-24,IT,Office,12680.54,14411.23,True
2024-06-25,Finance,Hardware,7880.66,14726.96,False
2024-06-26,Sales,Software,33768.43,11120.15,True
2024-06-26,Marketing,Hardware,21373.05,25829.99,True
2024-06-27,HR,Travel,11759.18,11601.73,True
2024-06-28,Finance,Consulting,7880.66,8415.4,True
2024-06-28,Marketing,Training,14248.7,34439.99,True
2024-06-28,HR,Office,23518.37,13922.07,True
2024-06-28,Sales,Software,25326.33,12708.74,True
2024-07-01,Marketing,Travel,19902.37,13829.63,False
2024-07-01,Finance,Hardware,15178.44,20944.76,True
2024-07-02,HR,Software,14471.53,19252.69,False
2024-07-02,Operations,Personnel,19926.59,21426.69,True
2024-07-03,HR,Hardware,38590.75,16502.3,False
2024-07-03,Marketing,Travel,19902.37,17287.04,False
2024-07-03,Sales,Travel,8884.48,5613.7,True
2024-07-05,HR,Consulting,14471.53,38505.37,True
2024-07-05,Finance,Software,25297.4,16755.81,True
2024-07-05,IT,Consulting,14365.49,26547.76,True
2024-07-06,Engineering,Software,14566.14,11232.45,True
2024-07-06,Marketing,Training,8529.59,11524.69,True
2024-07-06,IT,Training,10774.11,15170.15,True
2024-07-06,Sales,Consulting,13326.72,5613.7,True
2024-07-06,Sales,Training,6663.36,7484.93,False
2024-07-08,Sales,Personnel,13326.72,8981.92,True
2024-07-09,Engineering,Software,12485.27,26209.06,True
2024-07-10,Marketing,Personnel,9951.19,23049.39,True
2024-07-10,HR,Hardware,14471.53,14439.51,True
2024-07-10,IT,Training,14365.49,26547.76,True
2024-07-10,Engineering,Software,21849.22,15725.43,True
2024-07-11,HR,Personnel,16538.89,14439.51,True
2024-07-11,Operations,Consulting,16605.49,15304.78,True
2024-07-11,Finance,Training,12648.7,20944.76,True
2024-07-11,Engineering,Personnel,29132.29,13104.53,False
2024-07-12,HR,Hardware,19295.37,19252.69,True
2024-07-12,HR,Hardware,14471.53,14439.51,False
2024-07-13,Engineering,Consulting,29132.29,26209.06,True
2024-07-14,Engineering,Travel,12485.27,13104.53,False
2024-07-14,Engineering,Personnel,17479.37,9828.4,False
2024-07-15,Operations,Consulting,14233.28,13391.68,True
2024-07-15,Operations,Training,14233.28,13391.68,True
2024-07-17,Operations,Personnel,19926.59,17855.57,False
2024-07-17,Engineering,Office,17479.37,26209.06,True
2024-07-17,Finance,Training,10841.74,10472.38,True
2024-07-17,Engineering,Consulting,10924.61,15725.43,True
2024-07-17,HR,Consulting,16538.89,28879.03,True
2024-07-19,Marketing,Travel,8529.59,23049.39,False
2024-07-19,Marketing,Travel,7463.39,8643.52,False
2024-07-21,Finance,Office,12648.7,11968.43,True
2024-07-21,Sales,Personnel,7615.27,6415.66,True
2024-07-21,Operations,Training,33210.99,15304.78,False
2024-07-22,HR,Consulting,38590.75,14439.51,True
2024-07-22,IT,Consulting,14365.49,17698.51,True
2024-07-22,IT,Office,21548.23,17698.51,True
2024-07-24,IT,Travel,28730.97,17698.51,True
2024-07-25,IT,Travel,12313.27,15170.15,False
2024-07-25,Sales,Consulting,7615.27,7484.93,True
2024-07-25,IT,Office,14365.49,26547.76,True
2024-07-25,Sales,Hardware,10661.37,5613.7,True
2024-07-27,HR,Hardware,14471.53,38505.37,True
2024-07-27,Finance,Software,9486.53,10472.38,True
2024-07-28,Marketing,Hardware,7463.39,13829.63,True
2024-07-28,Sales,Office,10661.37,11227.4,False
2024-08-01,Finance,Software,3929.16,3783.99,False
2024-08-01,Marketing,Hardware,16215.04,12208.11,False
2024-08-02,Engineering,Travel,16660.97,27973.88,True
2024-08-02,Finance,Software,9168.04,7567.98,True
2024-08-02,Sales,Hardware,11885.07,17741.87,True
2024-08-03,Marketing,Personnel,10810.02,6976.06,True
2024-08-04,IT,Software,19934.47,11036.3,True
2024-08-04,IT,Personnel,7475.43,16554.46,False
2024-08-04,Marketing,Training,12972.03,12208.11,True
2024-08-04,Marketing,Personnel,16215.04,8138.74,False
2024-08-05,Sales,Hardware,13865.92,29569.79,True
2024-08-07,Operations,Personnel,20793.4,33167.51,True
2024-08-08,Sales,Consulting,13865.92,22177.34,True
2024-08-09,Operations,Personnel,10396.7,24875.63,True
2024-08-10,Operations,Consulting,13862.26,14214.65,False
2024-08-10,Engineering,Personnel,29156.71,27973.88,False
2024-08-11,HR,Office,11139.48,13138.61,False
2024-08-11,Engineering,Personnel,14578.35,17483.67,True
2024-08-11,HR,Software,9282.9,8211.63,False
2024-08-12,Sales,Hardware,10399.44,29569.79,True
2024-08-12,Finance,Travel,3929.16,10090.64,True
2024-08-12,HR,Travel,18565.81,8211.63,True
2024-08-12,HR,Training,7956.77,13138.61,True
2024-08-13,Sales,Training,13865.92,29569.79,False
2024-08-13,Engineering,Personnel,23325.36,34967.35,True
2024-08-14,HR,Travel,6962.18,10948.84,False
2024-08-17,Engineering,Software,19437.8,46623.13,True
2024-08-17,IT,Travel,8543.34,22072.61,True
2024-08-17,Finance,Training,3438.01,3783.99,True
2024-08-17,Sales,Hardware,27731.83,12672.77,True
2024-08-18,HR,Hardware,11139.48,21897.68,True
2024-08-20,IT,Hardware,7475.43,11036.3,True
2024-08-20,Engineering,Software,23325.36,46623.13,False
2024-08-20,HR,Office,9282.9,16423.26,False
2024-08-20,HR,Travel,11139.48,8211.63,True
2024-08-21,HR,Hardware,11139.48,21897.68,True
2024-08-22,Finance,Travel,5500.82,6054.38,False
2024-08-23,Operations,Training,13862.26,33167.51,True
2024-08-24,HR,Travel,18565.81,10948.84,True
2024-08-25,Sales,Consulting,10399.44,17741.87,True
2024-08-25,IT,Hardware,7475.43,11036.3,True
2024-08-25,Finance,Personnel,3929.16,7567.98,True
2024-08-26,Sales,Personnel,16639.1,22177.34,True
2024-08-26,Engineering,Software,29156.71,46623.13,True
2024-08-27,Engineering,Travel,23325.36,46623.13,False
2024-08-27,Sales,Training,10399.44,14784.89,False
2024-08-27,Engineering,Travel,14578.35,34967.35,False
2024-08-28,Engineering,Hardware,16660.97,46623.13,True
2024-09-02,Operations,Office,5661.46,10113.57,True
2024-09-03,Marketing,Hardware,19752.21,17564.2,False
2024-09-05,Operations,Office,7926.04,7223.98,True
2024-09-05,Marketing,Hardware,14814.16,46837.86,False
2024-09-05,IT,Hardware,9791.8,12169.44,False
2024-09-06,Operations,Office,5661.46,6320.98,True
2024-09-06,Sales,Software,13316.66,8610.45,True
2024-09-06,HR,Travel,11633.97,12738.5,False
2024-09-07,HR,Hardware,9971.97,19107.75,True
2024-09-07,Finance,Training,12977.9,8708.69,False
2024-09-10,HR,Travel,23267.94,9553.88,True
2024-09-10,Engineering,Training,27466.97,13662.23,True
2024-09-10,IT,Consulting,26111.47,20282.4,False
2024-09-10,Finance,Travel,7415.94,8708.69,True
2024-09-12,Sales,Consulting,13316.66,22961.21,True
2024-09-12,IT,Personnel,13055.74,20282.4,True
2024-09-12,IT,Consulting,15666.88,20282.4,False
2024-09-13,HR,Software,13960.76,10918.71,True
2024-09-13,Finance,Consulting,8651.93,13063.03,True
2024-09-15,Finance,Software,12977.9,17417.38,True
2024-09-15,Marketing,Training,16930.46,35128.4,True
2024-09-16,IT,Consulting,9791.8,7605.9,False
2024-09-16,Finance,Hardware,8651.93,17417.38,True
2024-09-17,IT,Travel,11190.63,12169.44,True
2024-09-17,Marketing,Travel,19752.21,20073.37,True
2024-09-17,Operations,Office,9907.55,7223.98,True
2024-09-21,HR,Hardware,11633.97,19107.75,False
2024-09-23,Engineering,Personnel,15695.41,15613.97,True
2024-09-25,Sales,Software,11097.22,9840.52,True
2024-09-25,Operations,Consulting,6605.03,7223.98,True
2024-09-26,Marketing,Travel,39504.42,28102.72,True
2024-09-26,Engineering,Office,21973.58,13662.23,True
2024-09-26,Engineering,Hardware,15695.41,27324.45,True
2024-09-27,Sales,Personnel,9511.9,17220.91,True
2024-09-27,Operations,Consulting,13210.06,16855.95,True
2024-09-27,Sales,Training,9511.9,8610.45,True
2024-09-28,HR,Office,13960.76,9553.88,True
2024-09-28,Finance,Software,10382.32,7464.59,True
2024-10-01,IT,Hardware,18154.33,22433.58,False
2024-10-01,Sales,Travel,15451.41,14618.14,True
2024-10-02,Operations,Hardware,14458.57,38664.72,True
2024-10-02,HR,Personnel,18733.49,24970.65,False
2024-10-02,Finance,Personnel,14703.05,12053.5,True
2024-10-02,Engineering,Personnel,8216.58,3299.68,True
2024-10-02,HR,Office,16057.28,31213.31,True
2024-10-04,HR,Office,28100.24,41617.75,True
2024-10-05,Marketing,Training,9921.56,20419.03,True
2024-10-06,IT,Office,18154.33,11216.79,True
2024-10-06,IT,Consulting,13615.75,14955.72,False
2024-10-06,IT,Software,18154.33,17946.86,True
2024-10-06,Finance,Travel,18378.81,28124.84,False
2024-10-06,Engineering,Travel,4695.19,3299.68,True
2024-10-07,Engineering,Consulting,4695.19,4399.57,True
2024-10-10,Operations,Personnel,16524.08,14499.27,False
2024-10-11,Operations,Travel,23133.71,16570.59,True
2024-10-11,Finance,Hardware,12252.54,10546.81,False
2024-10-11,Operations,Consulting,23133.71,14499.27,True
2024-10-13,Operations,Training,23133.71,28998.54,True
2024-10-14,Sales,Office,19314.26,14618.14,False
2024-10-14,HR,Office,18733.49,20808.88,True
2024-10-15,IT,Hardware,27231.5,29911.44,True
2024-10-16,Marketing,Training,26457.49,16335.22,True
2024-10-16,HR,Software,28100.24,17836.18,True
2024-10-17,IT,Hardware,36308.67,14955.72,True
2024-10-17,Marketing,Office,9921.56,11668.02,False
2024-10-18,Operations,Hardware,28917.14,23198.83,True
2024-10-18,Marketing,Travel,9921.56,11668.02,True
2024-10-18,HR,Office,22480.19,31213.31,True
2024-10-20,Engineering,Consulting,8216.58,5279.48,True
2024-10-20,Marketing,Travel,15874.49,10209.51,True
2024-10-20,Operations,Travel,28917.14,28998.54,True
2024-10-20,HR,Office,16057.28,31213.31,True
2024-10-22,Marketing,Personnel,13228.75,11668.02,True
2024-10-22,Sales,Travel,11036.72,14618.14,True
2024-10-23,Operations,Software,14458.57,14499.27,False
2024-10-23,Sales,Software,11036.72,21927.22,True
2024-10-23,IT,Software,36308.67,11216.79,True
2024-10-24,Marketing,Personnel,11338.92,13612.69,True
2024-10-25,HR,Personnel,14050.12,17836.18,True
2024-10-25,HR,Hardware,22480.19,24970.65,True
2024-10-26,Finance,Travel,18378.81,10546.81,True
2024-10-26,IT,Hardware,15560.86,11216.79,True
2024-10-26,Engineering,Travel,4695.19,4399.57,True
2024-10-26,Engineering,Hardware,4695.19,5279.48,True
2024-10-26,Marketing,Office,9921.56,10209.51,True
2024-10-28,Sales,Training,9657.13,10963.61,True
2024-11-01,IT,Hardware,8295.17,8656.07,False
2024-11-02,Operations,Training,3503.12,5979.97,True
2024-11-02,Finance,Hardware,8345.61,7130.28,True
2024-11-02,HR,Hardware,5429.24,4720.72,False
2024-11-02,Marketing,Training,5045.51,5859.12,True
2024-11-06,Operations,Consulting,4670.83,5125.69,True
2024-11-07,IT,Hardware,11613.23,10098.75,True
2024-11-07,Finance,Software,6259.2,19014.08,False
2024-11-08,Operations,Office,9341.67,5979.97,False
2024-11-08,Finance,Office,7153.38,7130.28,True
2024-11-08,HR,Training,5429.24,5395.1,True
2024-11-08,Operations,Software,9341.67,11959.94,True
2024-11-09,Finance,Software,10014.73,7130.28,True
2024-11-10,IT,Software,14516.54,12118.5,True
2024-11-10,HR,Software,5429.24,5395.1,True
2024-11-10,IT,Hardware,11613.23,8656.07,False
2024-11-12,Operations,Software,5605.0,8969.96,True
2024-11-12,Marketing,Travel,4414.82,5859.12,False
2024-11-12,Sales,Travel,16811.53,16801.24,False
2024-11-13,Finance,Software,7153.38,11408.45,True
2024-11-13,Sales,Hardware,33623.07,12600.93,True
2024-11-13,Engineering,Office,13625.1,15197.15,True
2024-11-14,HR,Software,8686.79,6294.29,True
2024-11-14,HR,Hardware,8686.79,12588.57,True
2024-11-14,Sales,Travel,14409.89,33602.48,False
2024-11-15,Finance,Personnel,7153.38,9507.04,False
2024-11-15,Operations,Office,3503.12,5125.69,False
2024-11-15,Finance,Training,10014.73,19014.08,True
